Latitude	Longitude	Poster Category	Easel Board	Poster Title	Students	Faculty
34.106025	-117.7117806	Computer Science, Mathematics	CSM-2	Phase Transitions in Biased Random k-SAT	Mithra Karamchedu, Gülce Kardeş (mentor, Ph.D. student at CU Boulder)	Prof. Cristopher Moore, Santa Fe Institute
34.1062027	-117.7117806	Computer Science, Neuroscience	CSN-1	fMRI Encoder Alignment: Reconstructing Images from Brain Activity	Kavi Dey	Dr. Juan (Helen) Zhou, National University of Singapore
34.106325	-117.711914	Engineering	E-1	System Design of Multicore Fiber Low Coherence Interferometer for Minimally Invasive Endoscopy	Zoe Worrall, Ben Hartley	Joshua Brake
34.106325	-117.7119266	Engineering	E-2	Testing Testing Abrasiveness of 3D Printed Ceramics vs. Steel	Kanoa parker, Miranda Brandt	Gordon Krauss
34.106325	-117.7119392	Engineering	E-3	Rheological Characterization Informs Micromixing Models for the Creation of Tunable Hydrogels	Samuel Brewer, Gabriel Klinger, Clayson Briggs	Prof. Steven Santana
34.106325	-117.7119518	Engineering	E-4	Passive House Design: Reducing Emissions in Halton’s Growing Housing Market	Leran Hu, Hessa Almesafri (Khalifa University), Varun Sen (University of Waterloo)	Chris Rennick (University of Waterloo)
34.106325	-117.7119644	Engineering	E-5	Biometrically Measured Behavior and Performance in Simulation and Real-World Training for Drone Pilots in Inspection Tasks	Will Sedo	David Nembhard
34.106325	-117.7119784	Engineering	E-6	Impact of Charge, Binding Region, and Co-assembly on Intrinsic Fluorescence of Peptide Amphiphile Nanofibers	Liselotte Ryan, Lindsey Sands, Kate Lam, Julia Gong, Griffin Stevens	Prof. Whitney Fowler
34.106325	-117.7120227	Engineering	E-7	Microalgae Cultivation at Mid-Halton Wastewater Facility	Cristina Tzunun Palomo, Meghan Almeida, Juan Manuel Eguia Ochoa	Professor Gordon Krauss
34.106325	-117.7120337	Engineering	E-8	Development of in vivo Uniaxial Extensometer Device and Preliminary Investigation on Mechanical Stretching vs. Transdermal Properties of Human Skin	Georgia Tai, Anthony Tran, Abraham Rock, Emily Brent, Ande Brako, Bengisu Bulur	Nancy Lape
34.106325	-117.7120447	Engineering	E-9	Comparison of Experimental and Modeling Results on Relative Humidity vs. Transepidermal Water Loss in Human Skin	Georgia Tai, Emily Brent, Adne Brako, Abraham Rock, Anthony Tran, Bengisu Bulur	Nancy Lape
34.106325	-117.7120557	Engineering	E-10	Enhancing Error Detection in Drone-Assisted Bridge Inspections with Machine Learning	Zhian Zhou, Ashley Song, Bryce Tu Chi, Sae Furukawa	Prof. David Nembhard
34.106325	-117.7120667	Engineering	E-11	Open Source In-Vivo Imaging Systems (IVIS)	Ruby Peterman, Hailey Knolton	Professor Joshua Brake
34.106325	-117.7120777	Engineering	E-12	Water reuse in the power sector: Experimental evaluations of reverse osmosis	Celeste Magdaleno, Fanuel Alemayehu	Sophia Bahena
34.1063834	-117.712087	Engineering	E-13	Novel Lead-Free, Free Machining Brass	Isaiah Jeter, Julien Liu	Lori Bassman
34.10639637	-117.712087	Engineering	E-14	Examining Optical Properties of Plant Stems for Rhizosphere Monitoring	Erin Wang, Audrey Gruian	Josh Brake
34.10640934	-117.712087	Engineering	E-15	Analyzing the effectiveness of bio-based oils in enhancing dimensional stability in wood fiber composites	Sofia Flores	Avishek Chanda, Vikram Yadama, Washington State University
34.1064223	-117.712087	Engineering	E-16	Exploration of the fundamentals of flexoelectricity for use in a novel energy harvesting device	Isaac Perez, Sofi Zaozerska, Luis Lorenzana	Ethan Ritz
34.1061757	-117.7117806	Engineering, Mathematics	EM-1	Improving Energy Harvesting Using a Coupled Vibro-Impact System	Nathan Hasegawa, Arnav Garg (New York University)	Prof. Rachel Kuske, Georgia Institute of Technology; Dr. Christina Athanasouli, Williams College; Dr. Rahul Kumar, Georgia Institute of Technology
34.1058774	-117.7119297	Mathematics	M-1	P-Nestohedra and Toric Compactifications of P_{d,n}}	Marwan Bit, Jenna Luo	Prof Javier Gonzalez-Anaya, Prof Dagan Karp
34.1058774	-117.7119423	Mathematics	M-2	Exploring Modeling Methods Through Experimental Mathematics	Zane Collins, Luke Fischer, Kyle Smeenge	Dr. Jane Friedman, University of San Diego
34.1058774	-117.711955	Mathematics	M-3	Good Least Squares Solvers Aren’t Always Good ALS Subroutines	Yolanda Ba, Cole Plepel	Jamie Haddock
34.1058774	-117.7119677	Mathematics	M-4	Exploring the Role of the Sketching Matrix in Sketch-and-Project for Inconsistent Systems	Max Collins	Dr. Jamie Haddock
34.1058774	-117.71198	Mathematics	M-5	Preference restricted parking functions	Jayden Thadani, Alan Kappler	Michael Orrison
34.1058664	-117.7119206	Oceanography	O-1	The Effect of El Niño on Air-Sea Oxygen Fluxes in the Eastern Tropical Pacific Ocean	Ivy Jaguzny, Ivy Jaguzny	Jannes Koelling, Postdoc at UW CICOES and NOAA Pacific Marine Environmental Lab
34.1058774	-117.7120293	Physics	P-1	Pedestal Width-Height Scaling and Dependence on Plasma Shaping Parameters in Spherical Tokamaks MAST-U and NSTX	Collin Fitzpatrick	Jack Berkery, Princeton Plasma Physics Lab
34.1058774	-117.7120406	Physics	P-2	Medium-Volume GaN Metasurface Manufacturing Using Nano-Imprint Lithography	Emily Kendrick, Emil Marinov, Aloke Jana	Patrice Genevet, Colorado School of Mines
34.1058774	-117.712052	Physics	P-3	Utilizing Generative Deep Learning for Variational Calculations of Nuclear Few-Body Systems	Miski Nopo	Prof. Jeremy Holt, Texas A&M University
34.1058774	-117.7120634	Physics	P-4	Search for compact object binaries in LAMOST Medium Resolution Survey using lithium	Leia Shen	Josh Simon, Carnegie Observatories
34.1058774	-117.7120748	Physics	P-5	In Search of Rare Earth-Free Magnets: Boron's Impact on the Magnetic Hysteresis of Mn-Al-Ga Alloys	Nikolas Hall	Professor Peter Müllner, Boise State University
34.1058774	-117.712085	Physics	P-6	Efficient Adaptive Entanglement Witnessing	Paco Navarro, Stuart Kerr, Lev Gruber	Theresa Lynn
34.1058664	-117.7120953	Physics	P-7	Constraints on the Bulk Photovoltaic Effect in Symmetry-Broken Graphene Using a New Optical Cryogenic Apparatus	William Hodges, Matthew Chalk	Nicholas Breznay
34.105851	-117.7120953	Physics	P-8	Improving stability predictions for multiplanetary systems	Elio Thadhani, Connor Neely	Dan Tamayo
34.1058356	-117.7120953	Physics	P-9	Lattice Matching Thin Films to Experimentally Viable Substrates	Elena Williams	Prof. Joseph Falson, Caltech
34.1058202	-117.7120953	Physics	P-10	Characterization of Atomic Force Microscopy Cantilever Reference Parameters for GetReal Implementation	Ian Gray McGuire	Research and Development Scientist, Aleks Labuda, Asylum Research
34.1058048	-117.7120953	Physics	P-11	New approach in quantifying three body resonances	Mickey Teekamongkol, Elizabeth Jones	Prof. Daniel Tamayo, Harvey Mudd College
34.1057894	-117.7120953	Physics	P-12	High-Fidelity Quantum State Transfer Through a Potential Energy Barrier	Caroline Sorrells, Alex Bobowski (UC Davis)	Prof. Richard Scalettar, University of California, Davis;
34.105774	-117.7120953	Physics	P-13	Mysterious Ground State Preference in Labyrinthine Colloid	Henrik Barck,Aaron Galper, Conor Floyd	Sharon Gerbode
34.1057586	-117.7120953	Physics	P-14	Measuring the High-Rate Large Deformation Recoil of Elastic Materials	Amelia Acker, Tay Han, Amy Liu, Sayema Lubis, Charlie Schofield	Mark Ilton
34.1058356	-117.7120537	Physics	P-15	Dynamics of Planetary Conjunctions at Mean Motion Resonance	Lizzy Jones, Mickey Teekamongkol	Prof. Dan Tamayo
34.1061893	-117.7117806	Sustainability and Social Entrepreneurship Fellowship	SSEF-1	Sustainable Phosphorus Recovery and Reuse	Lila Blank, Aisha Alhammadi (not an HMC student)	Gordon Krauss
